"_id","userid","subscr_id","seller_comission","price","subscribed_on","no_of_listing","status"
"6113e819c72ae528a01ece13","611382e4a4e72f03b8b4a434","6113baec172fa1b172001e60",34,500,"2021-08-11T15:09:13.469Z",3,true
"6113ea54050379d61ea13a49","611384393ef165969ad687b0","6113baec172fa1b172001e60",34,500,"2021-08-11T15:18:44.966Z",3,true
"6115de1fee0814279083e468","611568e1ee0814279083e428","6113baec172fa1b172001e60",34,500,"2021-08-13T02:51:11.510Z",3,true
"611a65634a651fcd99532ecd","611a59cf4a651fcd99532e9c","6115f6f0ee0814279083e48a",45,200,"2021-08-16T13:17:23.576Z",4,true
"611b87ccb194f2414fcd97dd","611b5d64551b932a05b159cb","6112a55c2f5abe3848cc669e",23,320,"2021-08-17T09:56:28.061Z",1,true
"611b90e7b194f2414fcd9856","611b8cb3b194f2414fcd981e","6113baec172fa1b172001e60",34,500,"2021-08-17T10:35:19.065Z",3,true
"611b9131b194f2414fcd9868","611b8bf0b194f2414fcd9812","6115f6f0ee0814279083e48a",45,200,"2021-08-17T10:36:33.780Z",4,true
"611b9244b194f2414fcd9885","611b9234b194f2414fcd987c","6112a55c2f5abe3848cc669e",23,320,"2021-08-17T10:41:08.149Z",1,true
"611b952ab194f2414fcd98ff","611b9518b194f2414fcd98f8","6113baec172fa1b172001e60",34,500,"2021-08-17T10:53:30.502Z",3,true
"611b9d85dfaaae4993e7c532","6115165321c91711c74276fc","6113baec172fa1b172001e60",34,500,"2021-08-17T11:29:09.889Z",3,true
"611cb1a2dfaaae4993e7ca03","611cb0a6dfaaae4993e7c9e4","6112a55c2f5abe3848cc669e",23,320,"2021-08-18T07:07:14.881Z",1,true
"611cf2d8b6e73bbb8924275c","611b8d19b194f2414fcd9836","6115f6f0ee0814279083e48a",45,200,"2021-08-18T11:45:28.055Z",4,true
"611cfb5bb6e73bbb89242873","611cf3c1b6e73bbb892427bc","6112a55c2f5abe3848cc669e",23,320,"2021-08-18T12:21:47.715Z",1,true
"6127adff6081fb97ff4b9cd9","6127adf06081fb97ff4b9cd0","6124a7db022444b0e50f556e",20,1399,"2021-08-26T15:06:39.195Z",8,true
"6128bef38465d9dd80fcbd14","6128bee58465d9dd80fcbd0b","6124a7db022444b0e50f556e",20,1399,"2021-08-27T10:31:15.417Z",8,true
"612cf69848d15bbb5495579f","612cf68448d15bbb54955796","6112a55c2f5abe3848cc669e",23,330,"2021-08-30T15:17:44.017Z",1,true
"6135bdbc9dc7d3c143285a33","6133635dbaafa18419e92af9","6112a55c2f5abe3848cc669e",23,330,"2021-09-06T07:05:32.156Z",1,true
"6149e894de0a7d4f1856cefe","6140a22a1dcb0a812bdec98e","6124a7db022444b0e50f556e",20,1399,"2021-09-21T14:13:40.787Z",8,true
